city,name,abbrev,count,latitude,longitude,desc,color
Hackensack,New Jersey,NJ,2,46.93007,-94.520704,Hackensack,
Secaucus,New Jersey,NJ,1,40.78828,-74.054964,Secaucus,
Cherry Hill,New Jersey,NJ,1,39.9275,-75.030549,Cherry Hill,
Neptune,New Jersey,NJ,1,40.209709,-74.035858,Neptune,
Bridgewater,New Jersey,NJ,1,41.53307,-73.365639,Bridgewater,
Pleasantville,New Jersey,NJ,1,41.38557,-93.269599,Pleasantville,
New York,New York,NY,60,40.71455,-74.007124,New York,
Melville,New York,NY,8,30.692035,-91.739674,Melville,
Albany,New York,NY,5,37.887285,-122.298004,Albany,
Buffalo,New York,NY,3,42.88544,-78.878464,Buffalo,
Rochester,New York,NY,2,43.1555,-77.616033,Rochester,
Poughkeepsie,New York,NY,1,36.077681,-91.478852,Poughkeepsie,
Pleasantville,New York,NY,1,41.38557,-93.269599,Pleasantville,
Yonkers,New York,NY,1,40.932994,-73.89874,Yonkers,
Geneseo,New York,NY,1,41.448625,-90.159389,Geneseo,
Raleigh,North Carolina,NC,4,37.8273,-88.536814,Raleigh,
Charlotte,North Carolina,NC,3,35.22269,-80.837764,Charlotte,
Chapel Hill,North Carolina,NC,2,35.914771,-79.056701,Chapel Hill,
Wilmington,North Carolina,NC,2,33.789425,-118.263189,Wilmington,
Asheville,North Carolina,NC,1,35.59846,-82.553144,Asheville,
Durham,North Carolina,NC,1,39.64599,-121.800894,Durham,
Greensboro,North Carolina,NC,1,32.70355,-87.595484,Greensboro,
Roanoke Rapids,North Carolina,NC,1,36.4762,-77.646281,Roanoke Rapids,
Greenvill,North Carolina,NC,1,34.848019,-82.400223,Greenvill,
Cary,North Carolina,NC,1,42.204359,-88.254396,Cary,
Athens,Ohio,OH,4,37.97605,23.73718,Athens,
Cleveland,Ohio,OH,3,41.50438,-81.690434,Cleveland,
Dayton,Ohio,OH,3,32.353199,-87.641506,Dayton,
Cincinnati,Ohio,OH,3,39.106614,-84.504552,Cincinnati,
Cedarville,Ohio,OH,2,35.568695,-94.366939,Cedarville,
Akron,Ohio,OH,1,32.87802,-87.743989,Akron,
Sandusky,Ohio,OH,1,43.42126,-82.830044,Sandusky,
Columbus,Ohio,OH,1,39.96196,-83.002984,Columbus,
Oklahoma City,Oklahoma,OK,7,35.472015,-97.520354,Oklahoma City,
Norman,Oklahoma,OK,1,34.454485,-93.680129,Norman,
Tulsa,Oklahoma,OK,1,36.149745,-95.993334,Tulsa,
Portland,Oregon,OR,14,45.511795,-122.675629,Portland,
Bend,Oregon,OR,1,44.05766,-121.315549,Bend,
Eugene,Oregon,OR,1,38.355632,-92.400665,Eugene,
Philadelphia,Pennsylvania,PA,8,39.95228,-75.162454,Philadelphia,
Pittsburgh,Pennsylvania,PA,3,40.438335,-79.997459,Pittsburgh,
Pittsburg,Pennsylvania,PA,2,38.01905,-121.888669,Pittsburg,
Allentown,Pennsylvania,PA,2,32.593967,-83.224466,Allentown,
Lancaster,Pennsylvania,PA,1,34.698905,-118.144779,Lancaster,
Bloomsburg,Pennsylvania,PA,1,41.00461,-76.453269,Bloomsburg,
Havertown,Pennsylvania,PA,1,39.980765,-75.307759,Havertown,
Scranton,Pennsylvania,PA,1,35.36035,-93.535379,Scranton,
Moosic,Pennsylvania,PA,1,41.35325,-75.728179,Moosic,
Indiana,Pennsylvania,PA,1,39.76618,-86.441051,Indiana,
Providence,Rhode Island,RI,1,41.823875,-71.411994,Providence,
Columbia,South Carolina,SC,2,31.292765,-85.111004,Columbia,
Chattanooga,Tennessee,TN,3,34.42242,-98.658289,Chattanooga,
Memphis,Tennessee,TN,3,35.149766,-90.049259,Memphis,
Nashville,Tennessee,TN,2,36.167783,-86.778365,Nashville,
Knoxville,Tennessee,TN,2,33.005609,-87.785941,Knoxville,
Dallas,Texas,TX,9,32.778155,-96.795404,Dallas,
Austin,Texas,TX,9,30.267605,-97.742984,Austin,
Houston,Texas,TX,7,29.76045,-95.369784,Houston,
San Antonio,Texas,TX,5,29.42449,-98.494619,San Antonio,
Fort Worth,Texas,TX,3,32.748855,-97.329389,Fort Worth,
Corpus Christi,Texas,TX,2,27.79641,-97.403564,Corpus Christi,
Denton,Texas,TX,1,31.722065,-82.697944,Denton,
Victoria,Texas,TX,1,48.428315,-123.364514,Victoria,
Wichita Falls,Texas,TX,1,33.90831,-98.500994,Wichita Falls,
Amarillo,Texas,TX,1,35.207255,-101.833894,Amarillo,
Lubbock,Texas,TX,1,33.58451,-101.845009,Lubbock,
San Marcos,Texas,TX,1,33.140862,-117.158827,San Marcos,
Salt Lake City,Utah,UT,5,40.759505,-111.888229,Salt Lake City,
Ogden,Utah,UT,1,33.58871,-94.047484,Ogden,
Burlington,Vermont,VT,1,39.301665,-102.272004,Burlington,
Arlington,Virginia,VA,13,32.056915,-87.588184,Arlington,
Norfolk,Virginia,VA,2,41.991701,-73.198403,Norfolk,
Springfield,Virginia,VA,1,35.267435,-92.557244,Springfield,
Lexington,Virginia,VA,1,34.968399,-87.371172,Lexington,
Stauton,Virginia,VA,1,38.874969,-81.050667,Stauton,
Fredericksburg,Virginia,VA,1,38.43332,-86.190089,Fredericksburg,
Seattle,Washington,WA,10,47.60356,-122.329439,Seattle,
Mount Vernon,Washington,WA,2,31.086315,-88.017644,Mount Vernon,
Pullman,Washington,WA,1,42.483955,-86.091344,Pullman,
Ellensburg,Washington,WA,1,46.99704,-120.54872,Ellensburg,
Tacoma,Washington,WA,1,47.255135,-122.441654,Tacoma,
Bellingham,Washington,WA,1,42.086981,-71.474604,Bellingham,
Vancouver,Washington,WA,1,49.26044,-123.114034,Vancouver,
Madison,Wisconsin,WI,5,34.705885,-86.750953,Madison,
Milwaukee,Wisconsin,WI,4,43.04181,-87.906844,Milwaukee,
Appleton,Wisconsin,WI,1,44.284793,-69.257612,Appleton,
Casper,Wyoming,WY,1,42.850095,-106.327734,Casper,
